;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;33;12/0919;446;0;;;2013-12-12;Retiraison;120;C47;0;0;0;0;0;0;0;0;0;0;1;0;;
*;CV1;12/0949;268;268;Grenache VDF Rosé;;2014-01-21;Analyse;;ICV;11.17;0.51;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;CV2;12/0756;260;260;VDF Rouge;vin sous entrepositaire;2014-01-10;Entrée;260;c52;11.5;0.34;0;0;0;0;0;0;0;0;0;0;;
*;CV3;12/0756;283;283;VDF Rouge;sous entrepositaire;2014-01-14;Analyse;;;11.78;0.25;0;0;0;0;0;0;0;0;0;0;;
*;34;12/0977;764;764;Bio Merlot OC Rouge;vinif 13;2014-01-16;Entrée;764;agreage vinif;13.39;0.4;0;0;0;0;0;0;0;0;0;0;;
*;35;0;738;0;Bio Merlot OC Rouge;vinif13 738hl;2013-12-11;Entrée;0;vinif 13;0;0;0;0;0;0;0;0;0;0;0;0;;
*;36;12/0949;515;515;Grenache VDF Rosé;;2014-01-21;Centrifugation;;ICV;11.64;0.21;0;0;0;0;0;0;STABLE;0;1;0;;
*;37;0;507;0;Merlot OC Rouge;vinif13 507hl;2013-12-10;Entrée;0;vinif 2013;0;0;0;0;0;0;0;0;0;0;1;0;;
*;38;06/0461;380;0;;;2013-12-23;Retiraison;117.73;C108;11.58;0.45;0;0;0;0;0;0;0;0;0;0;;
*;39;12/0957;380;380;Chardonnay OC Blanc;vinif 2013;2014-01-21;Analyse;;ICV;13.06;0.28;0;0;0;0;0;0;INSTABLE;0;0;0;;Analyse
*;40;12/0884;573;573.19;Cabernet VDF Rouge;;2013-12-17;Entrée;38;HAUTERIVE;12.7;0.2;0;0;0;0;ft;0;0;0;0;0;;
*;41;06/0468;570;570;Syrah OC Rouge;;2014-01-23;Analyse;;;13.12;0.54;0;0;0;0;0;0;0;0;0;0;;
*;42;06/0467;365;0;;;2013-12-18;Retiraison;365;C38;0;0;0;0;0;0;0;0;0;0;2;0;;Analyse
*;43;0;422;0;;;2014-01-13;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;44;0;307;0;;;2014-01-21;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;Analyse
*;45;12/0973;307;307;Bio Sauvignon OC Blanc;;2014-01-15;Analyse;;;13.73;0.36;0;0;0;0;0;0;0;0;3;0;;Acidification
*;46;12/0980;234;234;Merlot VDF Rouge;;2014-01-20;Entrée;234;sve;0;0;0;0;0;0;0;0;0;0;1;0;;
*;47;0;233;233;VDF Rouge;nouveaux bio ;2014-01-23;Analyse;;;12.33;0.43;0;0;0;0;0;0;0;0;0;0;;
*;48;0;326;0;Bio Grenache OC Rosé;vinif en attente agrement;2014-01-21;Entrée;0;vinif 2014;12.59;0.18;0;0;0;0;0;0;0;0;0;0;;
*;49;12/0952;261;261;VDF Blanc;;2014-01-10;Analyse;;;10.72;0.25;0;0;0;0;0;0;stable;0;2;0;;
*;B8;0;122;0;;;2014-01-24;Retiraison;0;C62;12.45;0.36;0;0;0;0;0;0;0;0;0;0;;
*;B9;12/0941;120;86;Merlot VDF Rouge;;2014-01-17;Analyse;;;12.6;0.36;0;0;0;0;0;0;0;0;0;0;;
*;B10;12/0952;120;120;Sauvignon OC Blanc;;2014-01-21;Analyse;;ICV;11.17;0.31;0;0;0;0;0;0;STABLE;0;1;0;;
*;B11;12/0984;120;55;VP34 Rouge;;2014-06-24;Entrée;55;CESSENON;0;0;0;0;0;0;0;0;0;0;0;0;;
*;B12;12/0945;120;0;;;2014-01-20;Retiraison;120;CA7;12.6;0.19;0;0;0;0;0;0;0;0;0;0;;
*;B13;0;120;0;;;2014-01-17;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;
*;100;12/0681;160;140;Portes Med Rosé;;2013-01-06;Analyse;;ICV;11.43;0.35;0;0;0;0;0;0;STABLE;0;0;0;;
*;101;06/0498;100;91;Bio OC Rouge;;2014-01-06;Analyse;;;13.4;0.47;0;0;0;0;0;0;0;0;1;0;;Nettoyage
*;102;12/0957;150;140;Chardonnay OC Blanc;;2014-01-22;Retiraison;10;PREAU;13.35;0.33;0;0;0;0;0;0;0;0;1;0;;
*;103;12/0625;150;46;Bio Cinsault OC Rosé;;2014-01-21;Analyse;;ICV;13.05;0.29;0;0;0;0;0;0;STABLE;0;2;0;;Nettoyage
*;104;12/0545;150;53;AOP CDR Rouge;;2014-01-24;Retiraison;5;C122;;;0;0;0;0;;0;0;0;0;0;;
*;105;12/0890;150;107;Bio Syrah OC Rosé;attention qualitée;2014-01-21;Analyse;;ICV;11.35;0.35;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;106;12/0937;150;68;VP30 Rosé;;2014-01-21;Analyse;;ICV;11.43;0.36;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;107;12/0852;140;74;AOP Chateauneuf Rouge;;2013-12-23;Analyse;;;13.2;0.51;0;0;0;0;0;0;0;0;0;0;;
*;108;12/0966;250;155.17;VDF Blanc;85/15 c111;2014-01-23;Retiraison;14.86;boubee;12.76;0.26;0;0;0;0;0;0;STABLE;0;0;0;;
*;109;12/0962;250;81;Chardonnay VDF Blanc;;2014-01-21;Analyse;;;12.7;0.27;0;0;0;0;0;0;0;0;0;0;;
*;110;12/0971;200;190;Bio Cinsault OC Rosé;vinif 2013;2014-01-14;Entrée;190;vinif 13 agreage;12.7;0.13;0;0;0;0;0;0;0;0;0;0;;
*;111;12/0952;150;15;Sauvignon OC Blanc;85/15 c108;2014-01-23;Retiraison;84;boubee;11.82;0.32;0;0;0;0;0;0;stable;0;0;0;;
*;112;12/0969;144;145;Bio Cabernet OC Rouge;vinif 2013;2014-01-14;Entrée;145;vinif agreage;12.7;0.43;0;0;0;0;0;0;0;0;0;0;;
*;113;12/0822;150;64.5;Cabernet OC Rouge;;2013-12-23;Analyse;;;12.1;0.5;0;0;0;0;FT;0;0;0;0;0;;
*;114;12/0955;150;114;Cinsault OC Rosé;;2014-01-21;Analyse;;ICV;11.26;0.33;0;0;0;0;0;0;0;0;0;0;;
*;115;12/0970;250;186;Bio Syrah OC Rosé;;2014-01-23;Analyse;;;12.48;0.16;0;0;0;0;0;0;0;0;0;0;;
*;116;06/0470;50;33;Grenache OC Rouge;;2014-01-23;Analyse;;;12.03;0.45;0;0;0;0;0;0;0;0;0;0;;
*;117;12/0938;100;78;VDF Rouge;alicante;2014-01-23;Analyse;;;11.74;0.49;0;0;0;0;0;0;0;0;0;0;;
*;118;0;100;0;VP30 Rouge;vinif13 70hl;2014-01-08;Entrée;0;vinif14;12;0.45;0;0;0;0;0;0;0;0;0;0;;
*;119;0;50;0;;retentat 23hl;2013-09-25;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;3;0;;
*;120;0;15;0;Bio Chardonnay OC Blanc;vinif13 8hl;2013-12-23;Analyse;;;14;0.38;0;0;0;0;0;0;0;0;0;0;;
