;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;38;12/0954;380;380;Grenache OC Rosé;;2014-03-12;Entrée;220.8;fraternelle;12;0.3;0;0;0;0;0;0;0;0;0;0;;
*;39;12/1053;380;380;Sauvignon OC Blanc;;2014-03-18;Entrée;120;cb13;13.06;0.28;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;40;12/0884;573;573.19;Cabernet VDF Rouge;;2014-12-17;Analyse;;;13.15;0.14;0;0;0;0;ft;0;0;0;0;0;;
*;41;06/0468;570;0;;;2014-03-19;Retiraison;34;ca4;13.12;0.54;0;0;0;0;0;0;0;0;0;0;;
*;42;06/0467;365;0;;;2013-12-18;Retiraison;365;C38;0;0;0;0;0;0;0;0;0;0;2;0;;Analyse
*;43;0;422;0;;;2014-03-03;Retiraison;422;C63;0;0;0;0;0;0;0;0;0;0;0;0;;
*;44;12/0949;307;307;Grenache VDF Rosé;;2014-03-18;Entrée;38.4;c114;0;0;0;0;0;0;0;0;0;0;0;0;;
*;45;12/1020;307;307;Sauvignon VDF Blanc;;2014-03-19;Analyse;;;10.93;0.38;0;0;0;0;0;0;0;0;3;0;;
*;46;12/0980;234;234;Merlot VDF Rouge;;2014-02-13;Analyse;;;12.5;0.39;0;0;0;0;0;0;0;0;1;0;;
*;47;12/0974;233;0;;;2014-03-13;Retiraison;23;ca4;12.3;0.44;0;0;0;0;0;0;0;0;0;0;;
*;48;12/1041;326;0;;;2014-03-12;Retiraison;56;c101;12.59;0.18;0;0;0;0;0;0;0;0;0;0;;
*;49;12/1030;261;261;Sauvignon OC Blanc;;2014-03-10;Entrée;261;c1;10.72;0.25;0;0;0;0;0;0;stable;0;2;0;;
*;B8;12/0992;122;122;Pinot VDF Rouge;;2014-03-03;Entrée;122;CB21;11.7;0.29;0;0;0;0;0;0;0;0;0;0;;
*;B9;12/1014;120;101.26;Cinsault OC Rosé;;2014-03-14;Entrée;101.26;briffaude;12.46;0.29;0;0;0;0;0;0;0;0;0;0;;
*;B10;12/1040;120;120;VDF Rouge;;2014-03-18;Entrée;120;mathael;13.3;0.31;0;0;0;0;0;0;STABLE;0;1;0;;
*;B11;12/0966;120;120;VDF Blanc;;2014-03-18;Entrée;120;c78;0;0;0;0;0;0;0;0;0;0;0;0;;
*;B12;12/0966;120;120;VDF Blanc;;2014-03-18;Entrée;120;c78;0;0.44;0;0;0;0;0;0;0;0;0;0;;
*;B13;12/1014;120;120;Cinsault OC Rosé;;2014-03-19;Analyse;;;12;0.2;0;0;0;0;FT;0;STABLE;0;0;0;;
*;100;12/0921;160;88;Syrah OC Rosé;;2014-03-19;Analyse;;;12.15;0.26;0;0;0;0;0;0;0;0;0;0;;
*;101;12/1041;100;100;Bio Grenache OC Rosé;;2014-03-19;Analyse;;;12.45;0.19;0;0;0;0;0;0;0;0;1;0;;
*;102;12/0976;150;120.88;VP30 Rosé;;2014-03-19;Analyse;;;12.21;0.35;0;0;0;0;0;0;0;0;1;0;;
*;103;12/1013;150;150;Cabernet VDF Rouge;;2014-03-03;Entrée;150;C4;13.5;0.45;0;0;0;0;0;0;STABLE;0;2;0;;Acidification
*;104;12/1019;150;102;AOP Costière Rouge;;2012-04-19;Entrée;2;;13.98;0.46;0;0;0;0;FT;0;0;0;0;0;;
*;105;12/0890;150;107;Bio Syrah OC Rosé;attention qualitée;2014-01-21;Analyse;;ICV;11.35;0.35;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;106;12/097;150;69;VP30 Rosé;;2014-03-19;Analyse;;;11.92;0.57;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;107;12/0852;140;74;AOP Chateauneuf Rouge;;2014-03-19;Analyse;;;13.3;0.51;0;0;0;0;0;0;0;0;0;0;;
*;108;12/1021;250;184;OC Blanc;;2014-03-20;Analyse;;;12.15;0.19;0;0;0;0;0;0;stable;0;0;0;;
*;109;12/1049;250;189.13;Bio AOP CDR Rouge;;2014-03-18;Entrée;189.13;fromontr;13.2;0.33;0;0;0;0;0;0;0;0;0;0;;
